B,EUR_freq,AFA_freq,API_freq,HIS_freq
0702g,0.13987,0.07303,0.02632,0.05453
0704,0.00044,0.00000,0.00000,0.00000
0705g,0.00210,0.00747,0.01952,0.00525
0709,0.00000,0.00021,0.00000,0.00000
0710,0.00019,0.00000,0.00000,0.00000
0715,0.00006,0.00000,0.00000,0.00000
0721,0.00006,0.00000,0.00000,0.00000
0801g,0.12525,0.03838,0.01641,0.04452
0805,0.00006,0.00000,0.00000,0.00000
0812,0.00000,0.00062,0.00000,0.00000
1301,0.00000,0.00041,0.03254,0.00075
1302,0.02644,0.00954,0.02320,0.01201
1401,0.00832,0.00934,0.00283,0.00900
1402,0.03095,0.02199,0.00113,0.04102
1403,0.00000,0.00249,0.00000,0.00050
1405,0.00000,0.00041,0.00000,0.00000
1406,0.00000,0.00000,0.00000,0.00025
1501g,0.06654,0.00975,0.03480,0.02876
1502,0.00000,0.00083,0.03565,0.00025
1503g,0.00089,0.06245,0.00028,0.01601
1504,0.00000,0.00000,0.00000,0.00150
1505,0.00000,0.00000,0.00283,0.00000
1506,0.00000,0.00000,0.00028,0.00000
1507,0.00076,0.00021,0.00283,0.00050
1508,0.00000,0.00000,0.00141,0.00025
1509,0.00000,0.00000,0.00000,0.00050
1510,0.00013,0.03029,0.00085,0.00475
1511,0.00000,0.00000,0.00651,0.00000
1512g,0.00000,0.00000,0.00340,0.00050
1513,0.00000,0.00021,0.00170,0.00000
1514,0.00006,0.00000,0.00000,0.00000
1515,0.00006,0.00000,0.00000,0.00775
1516,0.00032,0.01660,0.00000,0.00450
1517,0.00273,0.00602,0.00453,0.00650
1518,0.00121,0.00104,0.00990,0.00300
1521,0.00000,0.00000,0.00368,0.00000
1524,0.00006,0.00000,0.00000,0.00000
1525,0.00000,0.00021,0.00566,0.00000
1527,0.00000,0.00000,0.00453,0.00000
1529,0.00000,0.00000,0.00113,0.00000
1530,0.00000,0.00000,0.00000,0.00150
1531,0.00000,0.00062,0.00000,0.00000
1534,0.00000,0.00000,0.00028,0.00000
1535,0.00000,0.00000,0.00764,0.00025
1537,0.00000,0.00104,0.00000,0.00000
1539,0.00000,0.00000,0.00000,0.00175
1540,0.00000,0.00000,0.00000,0.00075
