C,EUR_freq,AFA_freq,API_freq,HIS_freq
0102,0.02922,0.00850,0.13375,0.04927
0103,0.00000,0.00000,0.00198,0.00000
0105,0.00000,0.00000,0.00028,0.00000
0107,0.00006,0.00000,0.00000,0.00000
0110,0.00000,0.00000,0.00000,0.00050
0116,0.00000,0.00021,0.00000,0.00000
0118,0.00000,0.00000,0.00028,0.00000
0202,0.03729,0.08461,0.00395,0.04227
0214,0.00000,0.00021,0.00000,0.00000
0218,0.00000,0.00000,0.00000,0.00025
0302,0.00146,0.01369,0.05643,0.00625
0303g,0.05457,0.01182,0.05023,0.03402
0304,0.08215,0.05330,0.08352,0.06978
0305,0.00000,0.00041,0.00000,0.01201
0306,0.00000,0.00000,0.00000,0.00800
0307,0.00006,0.00000,0.00000,0.00075
0308,0.00000,0.00000,0.00000,0.00025
0309,0.00006,0.00000,0.00000,0.00000
0319,0.00006,0.00000,0.00000,0.00000
0336,0.00000,0.00000,0.00028,0.00000
0337,0.00000,0.00000,0.00028,0.00000
0338,0.00000,0.00000,0.00000,0.00025
0401g,0.10534,0.18457,0.08070,0.16508
0403,0.00000,0.00041,0.01467,0.00025
0404,0.00006,0.00041,0.00056,0.00025
0405,0.00006,0.00000,0.00000,0.00000
0406,0.00000,0.00000,0.00113,0.00000
0407,0.00000,0.00228,0.00000,0.00000
0408,0.00000,0.00041,0.00000,0.00025
0410,0.00000,0.00000,0.00085,0.00000
0413,0.00000,0.00062,0.00000,0.00000
0414,0.00000,0.00021,0.00000,0.00000
0427,0.00000,0.00021,0.00000,0.00000
0501g,0.09136,0.03526,0.00847,0.04652
0505,0.00019,0.00000,0.00000,0.00000
0507N,0.00006,0.00000,0.00000,0.00000
0509,0.00000,0.00000,0.00000,0.00050
0602,0.09301,0.08855,0.06518,0.05878
0603,0.00006,0.00000,0.00000,0.00000
0608,0.00000,0.00041,0.00000,0.00000
0609,0.00000,0.00021,0.00000,0.00000
0610,0.00006,0.00000,0.00000,0.00000
0615,0.00000,0.00000,0.00028,0.00000
0701g,0.16658,0.12401,0.03894,0.10355
0702,0.15006,0.06968,0.14560,0.11281
0704g,0.01118,0.00871,0.01016,0.00950
0705,0.00000,0.00062,0.00000,0.00025
0707,0.00006,0.00000,0.00000,0.00000
0709,0.00006,0.00000,0.00000,0.00000
0710,0.00006,0.00000,0.00000,0.00000
0712,0.00006,0.00000,0.00000,0.00000
0717,0.00000,0.00000,0.00000,0.00050
0726,0.00000,0.00000,0.00028,0.00000
0727,0.00000,0.00000,0.00113,0.00025
0735,0.00000,0.00062,0.00000,0.00000
0743,0.00000,0.00000,0.00028,0.00000
0801,0.00006,0.00124,0.07985,0.02826
0802,0.03875,0.03733,0.00395,0.04927
0803,0.00044,0.00021,0.00451,0.00250
0804,0.00000,0.01182,0.00000,0.00150
0811,0.00000,0.00000,0.00000,0.00025
0812,0.00000,0.00000,0.00000,0.00025
0813,0.00000,0.00021,0.00000,0.00000
1202,0.00934,0.00145,0.04486,0.01301
1203,0.04892,0.01783,0.02737,0.04127
1204,0.00006,0.00000,0.00198,0.00000
1205,0.00013,0.00000,0.00028,0.00000
1212,0.00006,0.00000,0.00000,0.00000
1402,0.01150,0.01265,0.04797,0.01326
1403,0.00013,0.00270,0.01383,0.00050
1404,0.00006,0.00000,0.00000,0.00000
1406,0.00000,0.00000,0.00000,0.00025
1502g,0.01861,0.00539,0.04966,0.03052
1503,0.00006,0.00000,0.00000,0.00000
1504,0.00044,0.00000,0.00085,0.00050
1505,0.00235,0.01452,0.01411,0.00800
1506,0.00013,0.00000,0.00000,0.00000
1508,0.00000,0.00000,0.00028,0.00000
1509,0.00000,0.00000,0.00000,0.00525
1511,0.00006,0.00000,0.00028,0.00000
1519,0.00000,0.00000,0.00000,0.00025
1520,0.00000,0.00000,0.00000,0.00025
1601,0.03539,0.09788,0.00169,0.05053
1602,0.00260,0.00041,0.00790,0.00550
1604,0.00083,0.00021,0.00000,0.00075
1608,0.00000,0.00021,0.00000,0.00000
1701g,0.00667,0.07362,0.00141,0.02251
1704,0.00000,0.00021,0.00000,0.00000
1801g,0.00013,0.03194,0.00000,0.00350
1803,0.00000,0.00021,0.00000,0.00000
